old_field;new_field
Kontrollen_massnahme5;measures_5
Kontrollen_dringlichkeit5;measures_5_urgency
Kontrollen_pflege_bemerkung5;measures_5_comment
Kontrollen_art5;measures_5_comment
Kontrollen_umfang5;measures_5_comment
;measures_5_access
Kontrollen_genehm5;measures_5_approval
Kontrollen_pflege_datum5;measures_5_date
Kontrollen_pflege_name5;measures_5_name
;measures_5_complete_by
Kontrollen_kosten5;measures_5_costs
Kontrollen_zeit5;measures_5_time
struktur_krone1;habitat_structure_canopy
struktur_krone2;habitat_structure_canopy
struktur_krone3;habitat_structure_canopy
struktur_krone4;habitat_structure_canopy
struktur_krone5;habitat_structure_canopy
struktur_krone6;habitat_structure_canopy
struktur_krone7;habitat_structure_canopy
struktur_krone8;habitat_structure_canopy
art_krone1;habitat_species_canopy
art_krone2;habitat_species_canopy
art_krone3;habitat_species_canopy
art_krone4;habitat_species_canopy
art_krone5;habitat_species_canopy
art_krone6;habitat_species_canopy
art_krone7;habitat_species_canopy
art_krone8;habitat_species_canopy
bemerkung_krone1;habitat_comment_canopy
bemerkung_krone2;habitat_comment_canopy
bemerkung_krone3;habitat_comment_canopy
bemerkung_krone4;habitat_comment_canopy
bemerkung_krone5;habitat_comment_canopy
bemerkung_krone6;habitat_comment_canopy
bemerkung_krone7;habitat_comment_canopy
bemerkung_krone8;habitat_comment_canopy
struktur_stamm1;habitat_structure_trunk
struktur_stamm2;habitat_structure_trunk
struktur_stamm3;habitat_structure_trunk
struktur_stamm4;habitat_structure_trunk
struktur_stamm5;habitat_structure_trunk
struktur_stamm6;habitat_structure_trunk
struktur_stamm7;habitat_structure_trunk
struktur_stamm8;habitat_structure_trunk
art_stamm1;habitat_species_trunk
art_stamm2;habitat_species_trunk
art_stamm3;habitat_species_trunk
art_stamm4;habitat_species_trunk
art_stamm5;habitat_species_trunk
art_stamm6;habitat_species_trunk
art_stamm7;habitat_species_trunk
art_stamm8;habitat_species_trunk
bemerkung_stamm1;habitat_comment_trunk
bemerkung_stamm2;habitat_comment_trunk
bemerkung_stamm3;habitat_comment_trunk
bemerkung_stamm4;habitat_comment_trunk
bemerkung_stamm5;habitat_comment_trunk
bemerkung_stamm6;habitat_comment_trunk
bemerkung_stamm7;habitat_comment_trunk
bemerkung_stamm8;habitat_comment_trunk
betroffen;habitat_affected
vermeidung;habitat_avoidance
minderung;habitat_mitigation
ersatz;habitat_replacement
name;
erstellung;
aenderung;
datum;date_change
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
aenderung;date_change
